Hospitalization date,<3m,3-11m,1-4y,5-17y,18-39y,40-64y,>=65y
2015-10-01,0.0,0.0,0.0,0.0,3.558421150405269e-08,0.0,1.7625023519654453e-07
2015-10-02,0.0,0.0,0.0,0.0,3.4697941411427846e-08,0.0,1.3816236169248377e-07
2015-10-03,0.0,0.0,0.0,0.0,7.449845456732025e-08,0.0,1.2497132131238378e-07
2015-10-04,0.0,0.0,0.0,0.0,3.968988558593786e-08,0.0,9.636560178437551e-08
2015-10-05,0.0,0.0,0.0,0.0,5.8194060896305745e-08,0.0,1.224539921693429e-07
2015-10-06,0.0,0.0,0.0,0.0,4.427486661126994e-08,0.0,1.1364049899179662e-07
2015-10-07,0.0,0.0,0.0,0.0,6.19129039322521e-08,0.0,1.0221915299446507e-07
2015-10-08,0.0,0.0,0.0,0.0,4.8515068016469275e-08,0.0,1.4724103055468963e-07
2015-10-09,0.0,0.0,0.0,0.0,3.5662575650584004e-08,0.0,9.235993538107045e-08
2015-10-10,0.0,0.0,0.0,0.0,2.3315910239126586e-08,0.0,1.1322036776744835e-07
2015-10-11,0.0,0.0,0.0,0.0,3.4317721056125565e-08,0.0,9.165439939879591e-08
2015-10-12,0.0,0.0,0.0,0.0,2.807659734441339e-08,0.0,1.281576436745366e-07
2015-10-13,0.0,0.0,0.0,0.0,5.515737500144932e-08,0.0,1.2320649636250874e-07
2015-10-14,0.0,0.0,0.0,0.0,3.794396046894618e-08,0.0,1.3687374474521293e-07
2015-10-15,0.0,0.0,0.0,0.0,5.862474347080055e-08,0.0,1.1387099963865698e-07
2015-10-16,0.0,0.0,0.0,0.0,2.6211739711935827e-08,0.0,9.41889060681883e-08
2015-10-17,0.0,0.0,0.0,0.0,1.5476417239035745e-08,0.0,1.2775900992257225e-07
2015-10-18,0.0,0.0,0.0,0.0,3.555073983289645e-08,0.0,7.151889363659657e-08
2015-10-19,0.0,0.0,0.0,0.0,6.002112957886325e-08,0.0,6.557810595358531e-08
2015-10-20,0.0,0.0,0.0,0.0,3.942296826321054e-08,0.0,1.1486104345405157e-07
2015-10-21,0.0,0.0,0.0,0.0,2.914101669921304e-08,0.0,8.018710842709582e-08
2015-10-22,0.0,0.0,0.0,0.0,3.3519479592051606e-08,0.0,1.185882308083265e-07
2015-10-23,0.0,0.0,0.0,0.0,4.250435898465363e-08,0.0,7.109267272614982e-08
2015-10-24,0.0,0.0,0.0,0.0,3.2615293806354794e-08,0.0,6.108846404917632e-08
2015-10-25,0.0,0.0,0.0,0.0,0.0,0.0,1.049448287736212e-07
2015-10-26,0.0,0.0,0.0,0.0,3.1775133984409976e-08,0.0,8.596588609509733e-08
2015-10-27,0.0,0.0,0.0,0.0,4.9306752778746845e-08,0.0,1.1100846040106944e-07
2015-10-28,0.0,0.0,0.0,0.0,3.5420095148376193e-08,0.0,7.739883500440709e-08
2015-10-29,0.0,0.0,0.0,0.0,2.187224035374769e-08,0.0,9.558901043178372e-08
2015-10-30,0.0,0.0,0.0,0.0,6.052410796704968e-08,0.0,6.297871612020642e-08
2015-10-31,0.0,0.0,0.0,0.0,1.2820605239750586e-08,6.954904792054316e-08,5.810553324610548e-08
2015-11-01,0.0,0.0,0.0,0.0,2.5328362982854078e-08,5.5822485740348116e-08,6.527100181609542e-08
2015-11-02,0.0,0.0,0.0,0.0,2.087477780048585e-08,1.48637998768885e-07,9.077762160721797e-08
2015-11-03,0.0,0.0,0.0,0.0,4.129975022162688e-08,9.918506947942205e-08,5.587530226928143e-08
2015-11-04,0.0,0.0,0.0,0.0,1.6345547136418465e-08,7.747757264865579e-08,8.490286699770663e-08
2015-11-05,0.0,0.0,0.0,0.0,8.088258534521426e-09,8.68998899060054e-08,8.402488247940135e-08
2015-11-06,0.0,0.0,0.0,0.0,4.003144467197515e-08,1.1131898045333981e-07,8.317334120038467e-08
2015-11-07,0.0,0.0,0.0,0.0,3.56703992823685e-08,1.3778398715576961e-07,1.3845528354678097e-07
2015-11-08,0.0,0.0,0.0,0.0,5.49468830182135e-08,1.3644207399470816e-07,1.5717124696643544e-07
2015-11-09,0.0,0.0,0.0,0.0,3.109835773666969e-08,2.025265135747152e-07,2.676933877220395e-07
2015-11-10,0.0,0.0,0.0,0.0,3.465795344234164e-08,2.6236167325809566e-07,2.2730227926818462e-07
2015-11-11,0.0,0.0,0.0,0.0,3.4339507099271726e-08,2.1130984320607313e-07,1.7933688810853934e-07
2015-11-12,0.0,0.0,0.0,0.0,3.0248837569325446e-08,2.5303094596661803e-07,2.4333562164736426e-07
2015-11-13,0.0,0.0,0.0,0.0,2.2485938224249048e-08,1.6431238600167137e-07,2.9142949628297765e-07
2015-11-14,0.0,0.0,0.0,0.0,2.6005831436906295e-08,1.886046180685962e-07,2.8889927107185227e-07
