"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Extract_Date","Data_Revision_Date"
2024,01,Occurrence,Total Population,Total Population,32921,,,09/15/2025,09/16/2025
2024,01,Occurrence,Place Type,Hospital,32437,,,09/15/2025,09/16/2025
2024,01,Occurrence,Place Type,Freestanding Birth Center,121,,,09/15/2025,09/16/2025
2024,01,Occurrence,Place Type,Home,308,,,09/15/2025,09/16/2025
2024,01,Occurrence,Place Type,Other/Unknown,55,,,09/15/2025,09/16/2025
2024,02,Occurrence,Total Population,Total Population,31269,,,09/15/2025,09/16/2025
2024,02,Occurrence,Place Type,Hospital,30798,,,09/15/2025,09/16/2025
2024,02,Occurrence,Place Type,Freestanding Birth Center,124,,,09/15/2025,09/16/2025
2024,02,Occurrence,Place Type,Home,299,,,09/15/2025,09/16/2025
2024,02,Occurrence,Place Type,Other/Unknown,48,,,09/15/2025,09/16/2025
2024,03,Occurrence,Total Population,Total Population,33334,,,09/15/2025,09/16/2025
2024,03,Occurrence,Place Type,Hospital,32799,,,09/15/2025,09/16/2025
2024,03,Occurrence,Place Type,Freestanding Birth Center,140,,,09/15/2025,09/16/2025
2024,03,Occurrence,Place Type,Home,343,,,09/15/2025,09/16/2025
2024,03,Occurrence,Place Type,Other/Unknown,52,,,09/15/2025,09/16/2025
2024,04,Occurrence,Total Population,Total Population,31943,,,09/15/2025,09/16/2025
2024,04,Occurrence,Place Type,Hospital,31431,,,09/15/2025,09/16/2025
2024,04,Occurrence,Place Type,Freestanding Birth Center,107,,,09/15/2025,09/16/2025
2024,04,Occurrence,Place Type,Home,355,,,09/15/2025,09/16/2025
2024,04,Occurrence,Place Type,Other/Unknown,50,,,09/15/2025,09/16/2025
2024,05,Occurrence,Total Population,Total Population,33085,,,09/15/2025,09/16/2025
2024,05,Occurrence,Place Type,Hospital,32627,,,09/15/2025,09/16/2025
2024,05,Occurrence,Place Type,Freestanding Birth Center,112,,,09/15/2025,09/16/2025
2024,05,Occurrence,Place Type,Home,304,,,09/15/2025,09/16/2025
2024,05,Occurrence,Place Type,Other/Unknown,42,,,09/15/2025,09/16/2025
2024,06,Occurrence,Total Population,Total Population,32510,,,09/15/2025,09/16/2025
2024,06,Occurrence,Place Type,Hospital,32030,,,09/15/2025,09/16/2025
2024,06,Occurrence,Place Type,Freestanding Birth Center,111,,,09/15/2025,09/16/2025
2024,06,Occurrence,Place Type,Home,312,,,09/15/2025,09/16/2025
2024,06,Occurrence,Place Type,Other/Unknown,57,,,09/15/2025,09/16/2025
2024,07,Occurrence,Total Population,Total Population,34721,,,09/15/2025,09/16/2025
2024,07,Occurrence,Place Type,Hospital,34217,,,09/15/2025,09/16/2025
2024,07,Occurrence,Place Type,Freestanding Birth Center,124,,,09/15/2025,09/16/2025
2024,07,Occurrence,Place Type,Home,320,,,09/15/2025,09/16/2025
2024,07,Occurrence,Place Type,Other/Unknown,60,,,09/15/2025,09/16/2025
2024,08,Occurrence,Total Population,Total Population,36259,,,09/15/2025,09/16/2025
2024,08,Occurrence,Place Type,Hospital,35719,,,09/15/2025,09/16/2025
